x,y,order,hole,piece,group,fips,abbr,full
-652895.1,-2195616,545,FALSE,1,02.1,02,AK,Alaska
-655586.0,-2191954,546,FALSE,1,02.1,02,AK,Alaska
-658099.8,-2185970,547,FALSE,1,02.1,02,AK,Alaska
-658585.1,-2184257,548,FALSE,1,02.1,02,AK,Alaska
-662533.7,-2183887,549,FALSE,1,02.1,02,AK,Alaska
-667067.2,-2183199,550,FALSE,1,02.1,02,AK,Alaska
-669491.5,-2182309,551,FALSE,1,02.1,02,AK,Alaska
-670817.3,-2180449,552,FALSE,1,02.1,02,AK,Alaska
-672785.4,-2177683,553,FALSE,1,02.1,02,AK,Alaska
-674995.1,-2175441,554,FALSE,1,02.1,02,AK,Alaska
-672741.6,-2171690,555,FALSE,1,02.1,02,AK,Alaska
-672514.7,-2168114,556,FALSE,1,02.1,02,AK,Alaska
-675881.5,-2167310,557,FALSE,1,02.1,02,AK,Alaska
-678635.2,-2168310,558,FALSE,1,02.1,02,AK,Alaska
-678208.0,-2172078,559,FALSE,1,02.1,02,AK,Alaska
-680536.3,-2171708,560,FALSE,1,02.1,02,AK,Alaska
-683352.8,-2168828,561,FALSE,1,02.1,02,AK,Alaska
-686592.0,-2164355,562,FALSE,1,02.1,02,AK,Alaska
-688139.2,-2167501,563,FALSE,1,02.1,02,AK,Alaska
-692685.1,-2164718,564,FALSE,1,02.1,02,AK,Alaska
-695010.4,-2160068,565,FALSE,1,02.1,02,AK,Alaska
-698432.7,-2160502,566,FALSE,1,02.1,02,AK,Alaska
-699271.2,-2160814,567,FALSE,1,02.1,02,AK,Alaska
-700958.5,-2160190,568,FALSE,1,02.1,02,AK,Alaska
-702369.7,-2159215,569,FALSE,1,02.1,02,AK,Alaska
-704395.4,-2159088,570,FALSE,1,02.1,02,AK,Alaska
-705659.5,-2158841,571,FALSE,1,02.1,02,AK,Alaska
-705949.6,-2158142,572,FALSE,1,02.1,02,AK,Alaska
-705964.7,-2157496,573,FALSE,1,02.1,02,AK,Alaska
-705571.4,-2152911,574,FALSE,1,02.1,02,AK,Alaska
-704004.4,-2151198,575,FALSE,1,02.1,02,AK,Alaska
-701342.4,-2150446,576,FALSE,1,02.1,02,AK,Alaska
-697701.8,-2148012,577,FALSE,1,02.1,02,AK,Alaska
-696668.6,-2143925,578,FALSE,1,02.1,02,AK,Alaska
-695514.3,-2141493,579,FALSE,1,02.1,02,AK,Alaska
-698835.3,-2139034,580,FALSE,1,02.1,02,AK,Alaska
-700430.0,-2136307,581,FALSE,1,02.1,02,AK,Alaska
-700731.5,-2135812,582,FALSE,1,02.1,02,AK,Alaska
-701853.2,-2133967,583,FALSE,1,02.1,02,AK,Alaska
